T,T,T,T,E,E,S,S,E,E,T,T,T,T
T,T,T,W,E,E,X,X,E,E,W,T,T,T
T,T,W,W,T,T,T,T,T,T,W,W,T,T
T,W,W,T,T,T,T,T,T,T,T,W,W,T
W,W,T,T,W,E,X,X,E,W,T,T,W,W
W,T,T,W,E,S,X,X,S,E,W,T,T,W
X,T,W,E,X,X,X,X,X,X,E,W,T,X
S,X,X,X,X,E,T,T,E,X,X,X,X,S
E,E,E,X,E,T,T,T,T,E,X,E,E,E
E,E,E,X,E,T,T,T,T,E,X,E,E,E
S,X,X,X,X,E,T,T,E,X,X,X,X,S
X,T,W,E,X,X,X,X,X,X,E,W,T,X
W,T,T,W,E,X,X,X,X,E,W,T,T,W
W,W,T,T,W,E,X,X,E,W,T,T,W,W
T,W,W,T,T,T,T,T,T,T,T,W,W,T
T,T,W,W,T,T,T,T,T,T,W,W,T,T
T,T,T,W,E,E,1,X,E,E,W,T,T,T
T,T,T,T,E,E,X,X,E,E,T,T,T,T
